"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",4.53572686027275e-11,3.41372375828055,0.226,0.495,1.39478136680247e-06,"0","Hdgfl3"
"2",2.49026060453728e-06,2.78240866215234,0.366,0.66,0.076578003850126,"0","Macroh2a1"
"3",1.88690320549584e-11,2.71585333685938,0.681,0.739,5.80241604722025e-07,"0","Tmem163"
"4",0.00066190521464427,2.50697803372034,0.315,0.534,1,"0","Pold3"
"5",0.00034097783109786,2.40997349590724,0.257,0.45,1,"0","Glmp"
"6",6.51924673709401e-43,4.04897864963978,0.7,0.5,2.00473356412378e-38,"1","Col1a2"
"7",2.88736071626247e-128,3.69061950556895,1,0.569,8.87892293857873e-124,"1","Col3a1"
"8",9.60712996083565e-21,3.36584418549416,0.477,0.289,2.95428853425657e-16,"1","Col6a1"
"9",1.03239074026554e-17,3.34451890822458,0.481,0.311,3.17470476539056e-13,"1","Col6a3"
"10",8.08671614782069e-73,3.29177675268534,0.831,0.521,2.48674608261634e-68,"1","Postn"
"11",8.3955349380804e-89,3.54728410063262,1,0.456,2.5817109488091e-84,"2","Gm21560"
"12",1.5983461151795e-52,3.48446089834477,1,0.593,4.91507413878849e-48,"2","Fndc3a"
"13",0.0012731870023835,3.27316843744891,0.153,0.261,1,"2","Pkp2"
"14",8.79330230117353e-57,3.20785415139092,0.898,0.426,2.70402839063387e-52,"2","Rnaset2b"
"15",7.60007163614029e-81,3.17023834531591,1,0.909,2.3370980288295e-76,"2","Dis3"
"16",0.0049017026631768,5.50584750443479,0.558,0.384,1,"3","Wdr76"
"17",3.99717025129312e-05,5.27396350298048,0.688,0.422,1,"3","Serpinb6a"
"18",6.80695061530095e-05,5.01194365027333,0.727,0.465,1,"3","Cdk13"
"19",4.08545650702561e-05,4.69810211557973,0.656,0.413,1,"3","1810013L24Rik"
"20",8.93787089427558e-06,4.43507341623393,0.643,0.396,0.274848467869868,"3","Anapc16"
"21",6.44843266035624e-79,4.00500764174656,0.992,0.663,1.98295752738615e-74,"4","Gm23512"
"22",1.46150913117825e-79,3.68156758533578,0.992,0.65,4.49428672928623e-75,"4","Gm22822"
"23",3.73803887771379e-78,3.32151731936154,1,0.997,1.14948433528577e-73,"4","Lars2"
"24",1.04036525716213e-82,2.99343885110276,0.992,0.57,3.19922720229926e-78,"4","Gm26427"
"25",2.67037241208959e-82,2.97585173110305,0.985,0.487,8.2116622044167e-78,"4","Gm23217"
"26",2.94319336627371e-66,3.58024728036286,1,0.768,9.05061392062827e-62,"5","H4c14"
"27",3.83036059160282e-68,3.4679736381864,1,0.859,1.17787418552378e-63,"5","H4c4"
"28",2.77317888613724e-67,3.36776942991458,1,0.739,8.52780239276064e-63,"5","H2ac11"
"29",5.60815421751077e-65,3.13625163653848,1,0.727,1.72456350342674e-60,"5","H2ac15"
"30",2.3461805447311e-64,3.11150184268414,1,0.883,7.2147397931026e-60,"5","H4c11"
"31",3.58684982613786e-72,5.18798381850827,1,0.647,1.10299219003565e-67,"6","Mms19"
"32",4.33824302281856e-99,4.6928046219088,1,0.264,1.33405311194694e-94,"6","Gm38152"
"33",7.11200265979192e-11,4.58840553643884,0.345,0.138,2.18701193791261e-06,"6","Pcdh15"
"34",1.9172992123259e-77,4.58131249151799,1,0.456,5.89588680782339e-73,"6","Lockd"
"35",5.23687406926994e-150,4.51210465740654,0.885,0.071,1.6103911450412e-145,"6","Olfr729"
"36",1.85875767892808e-61,5.09008162574762,1,0.384,5.71586573847174e-57,"7","Selenon"
"37",3.98466122997639e-67,4.12993689038185,1,0.352,1.22532317483004e-62,"7","Pvr"
"38",4.20748485813515e-32,3.98183858470213,0.427,0.087,1.29384366872514e-27,"7","Gm43333"
"39",2.00793569601374e-63,3.85541848445811,0.942,0.247,6.17460305881186e-59,"7","Slc22a15"
"40",2.32144299339858e-83,3.75665412942459,0.961,0.19,7.13866934899997e-79,"7","Cox17"
"41",0.00130055693158083,4.12779785501493,0.276,0.145,1,"8","Zfp407"
"42",0.00929746574905407,3.92983426316943,0.306,0.183,1,"8","Esrp1"
